key,dtype,size,value,4-sample-spread,class
TVh3,flt ,4,51.37155532836914,0.91,responsive
TVm0,flt ,4,45.71550369262695,0.56,responsive
TVm1,flt ,4,46.64881134033203,0.56,responsive
TVm2,flt ,4,46.99411392211914,0.4,responsive
TVm3,flt ,4,46.99411392211914,0.4,responsive
TVmS,flt ,4,56.0,0.0,frozen
TVmd,flt ,4,1.0,0.0,frozen
TVms,flt ,4,56.0,0.0,frozen
TVxx,flt ,4,56.0,0.0,frozen
TW0P,flt ,4,40.59783935546875,0.62,responsive
Ta00,flt ,4,0.0,,
Ta01,flt ,4,8.600000381469727,0.0,frozen
Ta04,flt ,4,0.0,,
Ta05,flt ,4,8.600000381469727,0.0,frozen
Ta08,flt ,4,0.0,,
Ta09,flt ,4,8.600000381469727,0.0,frozen
Ta0K,flt ,4,0.0,,
Ta0L,flt ,4,8.600000381469727,0.0,frozen
Ta0O,flt ,4,0.0,,
Ta0P,flt ,4,8.600000381469727,0.0,frozen
Ta0R,flt ,4,0.0,,
Ta0S,flt ,4,8.600000381469727,0.0,frozen
TaLP,flt ,4,39.220733642578125,0.43,responsive
TaLT,flt ,4,31.744537353515625,0.05,responsive
TaLW,flt ,4,32.1094970703125,0.08,responsive
TaRF,flt ,4,39.581085205078125,0.39,responsive
TaRT,flt ,4,30.956207275390625,0.03,frozen
TaRW,flt ,4,32.32118225097656,0.08,responsive
TaTP,flt ,4,43.559783935546875,0.77,responsive
Te04,flt ,4,47.190467834472656,0.61,responsive
Te05,flt ,4,52.9904670715332,0.61,responsive
Te06,flt ,4,56.34375,1.39,responsive
Te0R,flt ,4,46.788516998291016,0.73,responsive
Te0S,flt ,4,52.38851547241211,0.73,responsive
Te0T,flt ,4,54.984375,1.17,responsive
Tex0,flt ,4,51.48871994018555,0.56,responsive
Tex1,flt ,4,56.34375,1.39,responsive
Tex2,flt ,4,50.78678512573242,0.74,responsive
Tex3,flt ,4,54.984375,1.17,responsive
Tf04,flt ,4,48.071876525878906,1.39,responsive
Tf06,flt ,4,97.34375,0.0,frozen
Tf08,flt ,4,46.27031326293945,0.48,responsive
Tf09,flt ,4,46.92656326293945,0.66,responsive
Tf0A,flt ,4,47.32343673706055,0.77,responsive
Tf0B,flt ,4,47.978126525878906,1.68,responsive
Tf14,flt ,4,48.0390625,0.71,responsive
Tf16,flt ,4,115.265625,0.0,frozen
Tf18,flt ,4,47.23906326293945,0.77,responsive
Tf19,flt ,4,47.97968673706055,0.85,responsive
Tf1A,flt ,4,47.525001525878906,0.46,responsive
Tf1B,flt ,4,47.58124923706055,0.8,responsive
Tf24,flt ,4,47.73125076293945,1.14,responsive
Tf26,flt ,4,116.125,0.0,frozen
Tf28,flt ,4,47.321876525878906,1.17,responsive
Tf29,flt ,4,47.610939025878906,1.25,responsive
Tf2A,flt ,4,47.068748474121094,1.23,responsive
Tf2B,flt ,4,46.95624923706055,1.65,responsive
Tf34,flt ,4,48.400001525878906,1.11,responsive
Tf36,flt ,4,104.171875,0.0,frozen
Tf38,flt ,4,46.7265625,0.71,responsive
Tf39,flt ,4,47.493751525878906,0.91,responsive
Tf3A,flt ,4,47.670310974121094,0.93,responsive
Tf3B,flt ,4,48.20624923706055,1.23,responsive
Tf44,flt ,4,47.889060974121094,3.62,responsive
Tf46,flt ,4,107.3125,0.0,frozen
Tf48,flt ,4,46.58281326293945,2.25,responsive
Tf49,flt ,4,46.671875,2.3,responsive
Tf4A,flt ,4,47.412498474121094,4.01,responsive
Tf4B,flt ,4,47.298439025878906,4.29,responsive
Tf9F,flt ,4,46.196746826171875,0.43,responsive
TfA0,flt ,4,46.41131591796875,0.43,responsive
Tg04,flt ,4,46.39301300048828,0.99,responsive
Tg05,flt ,4,51.993011474609375,0.99,responsive
Tg0K,flt ,4,46.81058120727539,0.96,responsive
Tg0L,flt ,4,46.81058120727539,0.96,responsive
Tg0R,flt ,4,47.019989013671875,0.67,responsive
Tg0S,flt ,4,52.81998825073242,0.67,responsive
Tg0X,flt ,4,47.380096435546875,1.05,responsive
Tg0Y,flt ,4,52.98009490966797,1.05,responsive
Tg0d,flt ,4,47.05845260620117,0.85,responsive
Tg0e,flt ,4,47.05845260620117,0.85,responsive
Tg0j,flt ,4,47.31453323364258,0.99,responsive
Tg0k,flt ,4,52.91453170776367,0.99,responsive
Tg0y,flt ,4,46.951934814453125,0.82,responsive
Tg0z,flt ,4,52.55193328857422,0.82,responsive
Tg1E,flt ,4,47.15546798706055,0.85,responsive
Tg1F,flt ,4,47.15546798706055,0.85,responsive
Tg1U,flt ,4,47.163997650146484,0.82,responsive
Tg1V,flt ,4,52.76399612426758,0.82,responsive
Tg1c,flt ,4,47.12507629394531,0.92,responsive
Tg1d,flt ,4,47.12507629394531,0.92,responsive
Tg1k,flt ,4,47.65460968017578,0.65,responsive
Tg1l,flt ,4,53.254608154296875,0.65,responsive
Tg21,flt ,4,46.99110794067383,0.63,responsive
Tg22,flt ,4,52.59110641479492,0.63,responsive
Tg2H,flt ,4,46.961524963378906,0.83,responsive
Tg2I,flt ,4,46.961524963378906,0.83,responsive
Tg2P,flt ,4,46.776519775390625,0.8,responsive
Tg2Q,flt ,4,52.57651901245117,0.8,responsive
Tg2X,flt ,4,47.265682220458984,0.91,responsive
Tg2Y,flt ,4,52.86568069458008,0.91,responsive
Tg2f,flt ,4,47.053131103515625,0.78,responsive
Tg2g,flt ,4,52.65312957763672,0.78,responsive
Tg2n,flt ,4,46.89034652709961,0.78,responsive
Tg2o,flt ,4,52.4903450012207,0.78,responsive
Tg33,flt ,4,47.074424743652344,0.68,responsive
Tg34,flt ,4,52.67442321777344,0.68,responsive
Tg3J,flt ,4,46.98476028442383,0.88,responsive
Tg3K,flt ,4,46.98476028442383,0.88,responsive
Tg3Z,flt ,4,46.4997444152832,0.73,responsive
Tg3a,flt ,4,52.0997428894043,0.73,responsive
Tg3h,flt ,4,46.25853729248047,1.08,responsive
Tg3i,flt ,4,51.85853576660156,1.08,responsive
Tg3p,flt ,4,46.70475387573242,0.75,responsive
Tg3q,flt ,4,52.304752349853516,0.75,responsive
Tp00,flt ,4,50.18598175048828,10.75,responsive
Tp01,flt ,4,56.08598327636719,16.65,responsive
Tp02,flt ,4,64.0,24.45,responsive
Tp04,flt ,4,51.86471939086914,12.19,responsive
Tp05,flt ,4,57.36471939086914,17.69,responsive
Tp06,flt ,4,71.171875,31.64,responsive
Tp08,flt ,4,50.29170608520508,10.29,responsive
Tp09,flt ,4,56.191707611083984,16.19,responsive
Tp0A,flt ,4,64.109375,24.11,responsive
Tp0C,flt ,4,52.25747299194336,12.26,responsive
Tp0D,flt ,4,57.75747299194336,17.76,responsive
Tp0E,flt ,4,71.671875,31.67,responsive
Tp0G,flt ,4,49.68620681762695,10.89,responsive
Tp0H,flt ,4,55.58620834350586,16.79,responsive
Tp0I,flt ,4,63.265625,24.66,responsive
Tp0K,flt ,4,50.45201873779297,11.7,responsive
Tp0L,flt ,4,55.95201873779297,17.2,responsive
